职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,city
海外分析师,1.5万-3万,成都-锦江,3-5年,硕士,"['经济研究', '基金从业资格证', '海外研究', '海外资产配置']",青岛幂加和私募基金管理有限责任公司,民营 ,20-99人 ,成都
证券投顾分析/实盘指导,1万-2万,成都,1-3年,本科,"['投资分析', '股票市场', '证券投资咨询资格证']",四川大决策证券投资顾问有限公司,民营 ,300-499人 ,成都
媒体分析师/证券直播节目分析师,2万-4万,成都-武侯,3-5年,本科,"['股票市场', '投资分析']",北京中富金石咨询有限公司四川分公司,民营 ,100-299人 ,成都
数据研究员,8千-1.2万,成都-武侯,1-3年,本科,"['Python', '数据分析 报告撰写', '计算机类专业', '软件类专业', '统计类专业']",成都佳伊聘科技有限公司,民营 ,20-99人 ,成都
证券投资分析/实盘指导,1万-1.5万,成都-金牛,不限,本科,"['股票市场', '金融业', '投资分析', '基本面分析', '宏观经济分析', '行业分析', '证券投资顾问资格']",四川大决策证券投资顾问有限公司,民营 ,300-499人 ,成都
业务分析师,7千-1万,成都-武侯,1-3年,本科,['运营数据分析'],成都盼达乐聘企业管理咨询服务有限公司,民营 ,100-299人 ,成都
数据研究员【气象、洪水、农业灾害模型】,1万-1.8万,成都-武侯,不限,硕士,"['气象、洪水、农业风险灾害评估模型', 'arcgis']",成都佳伊聘科技有限公司,民营 ,20-99人 ,成都
实盘指导/证券投资分析,1万-2万,成都,3-5年,本科,"['证券从业资格证', '宏观经济分析', '股票市场', '证券投资咨询资格证', '证券分析师资格证']",四川大决策证券投资顾问有限公司,民营 ,300-499人 ,成都
数据开发,1.5万-3万,成都-郫都,不限,本科,"['Java', 'Python', 'Hadoop', 'Hive', 'ETL开发', '数仓开发', '报表开发', '数据治理']",外企德科,合资 ,1000-9999人 ,成都
大数据研究员（农业驻场）,1万-1.8万,成都-武侯,不限,硕士,"['农业农村', '驻场', '政府项目']",成都佳伊聘科技有限公司,民营 ,20-99人 ,成都
媒体分析师/证券分析,3万-6万,成都-金牛,1-3年,本科,"['行业分析', '基本面分析', '量化分析', '投资分析', '技术面分析', '股票市场', '宏观经济分析']",四川大决策证券投资顾问有限公司,民营 ,300-499人 ,成都
