职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,city
广东大数据工程师,1万-1.6万,广州-白云,不限,硕士,"['Python', 'Java', 'Hadoop', 'Hive', '大数据分析', '数据挖掘']",北京中科特瑞科技有限公司,民营 ,100-299人 ,广州
临床数据管理员I,8千-1.1万,广州-海珠,1-3年,本科,['CRO'],广州蓝达凯医药研究开发有限公司,合资 ,20-99人 ,广州
分析师助理,5千-1万,广州-海珠,不限,本科,"['证券从业资格证', '基金从业资格']",广州市艺蓝投资管理有限公司,民营 ,20人以下 ,广州
项目经理（数据调研方向）,6千-8千,广州-越秀,1-3年,本科,"['市场研究', '用户分析', '市场信息收集', '全职', '聚类分析', '出差', '驾照']",成都松祥科技有限公司,民营 ,20-99人 ,广州
调研分析,5千-8千,广州-番禺,1-3年,本科,"['市场研究', '行业研究', '用户分析', '市场信息收集', '竞品分析']",广东省国基教育发展研究院,社会团体 ,100-299人 ,广州
数据开发工程师,7千-1.2万,广州-黄埔,1-3年,本科,"['数据治理', '数据挖掘', '数仓开发', '数据中台', 'Python', 'MySQL', 'ETL开发']",广州欧赛斯信息科技有限公司,民营 ,20-99人 ,广州
大数据开发工程师,1万-1.8万,广州-天河,3-5年,大专,"['数据库', 'Java', 'SQL Server']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,广州
大数据开发工程师-广州亿迅,面议,广州-天河,1-3年,本科,"['Python', 'SQL Server', 'Hadoop', 'Spark']",中软国际,上市公司 ,10000人以上 ,广州
分析师助理,6千-1万,广州-白云,1年以下,学历不限,['基本面研究'],超亨投资服务(广州)有限公司,民营 ,20-99人 ,广州
大数据工程师,1.2万-2.4万,广州-南沙,1-3年,本科,"['大数据分析', '大数据开发', 'Python']",香港科技大学(广州),事业单位 ,100-299人 ,广州
数据开发（双休 五险一金）,1万-2万,广州-黄埔,3-5年,本科,"['数据建模', '数仓开发', 'Shell', 'Java', '数据挖掘', 'Hive', 'Python', 'ClickHouse', 'vertica']",启迪万众网络科技(北京)有限公司广州分公司,民营 ,100-299人 ,广州
经营分析主管,8千-1.3万,广州-黄埔,5-10年,大专,"['制药/医疗', '批发/零售', 'IT/互联网', '电商行业']",万孚生物,上市公司 ,1000-9999人 ,广州
金融分析师,5千-1万,广州-天河,不限,本科,"['期货数据分析', '舆情分析', '风险分析', '经济分析', '政策分析', '行业分析', '基本面分析', '技术面分析']",广州汇九金投资咨询有限公司,民营 ,20-99人 ,广州
数据开发工程师 (MJ002150),1万-1.8万,广州,5-10年,本科,"['数仓开发', 'ETL开发', '报表开发', 'Hive', 'Spark', 'Flink', '数据平台', 'Kafka']",广电运通,上市公司 ,10000人以上 ,广州
数据治理工程师（驻场）,1.2万-2.2万,广州-海珠,5-10年,本科,"['Java', 'Python', 'Alteryx', 'Oracle Hyperion', 'Power BI', 'Kettle']",彩讯科技股份有限公司,上市公司 ,1000-9999人 ,广州
数据开发工程师,1.1万-1.7万,广州-黄埔,1-3年,本科,"['Java', 'Python', 'Spark', '外企', '英语', '银行']",北京神州数字科技有限公司,上市公司 ,10000人以上 ,广州
大数据开发（广州）,1.3万-1.5万,广州-越秀,3-5年,本科,"['Hive', 'Spark', '数据中台', 'Hadoop']",大展信息科技(深圳)有限公司,民营 ,500-999人 ,广州
数据管理岗（数据治理方向）(J10884),1.5万-2.5万,广州-番禺,3-5年,本科,['数据治理'],广州农村商业银行,国企 ,10000人以上 ,广州
数据应用开发工程师（高级）,1万-1.5万,广州-黄埔,3-5年,本科,"['SQL', 'Python', 'MySQL', 'Oracle']",广州西麦科技股份有限公司,上市公司 ,100-299人 ,广州
大数据库开发工程师,1.2万-1.8万,广州-天河,3-5年,本科,"['Spark', 'Hadoop', 'Java', 'Python', 'Shell', 'Hbase', 'Oracle', 'HIVE']",京北方,民营 ,10000人以上 ,广州
数据工程师,1.5万-1.7万,广州-天河,1-3年,本科,['影像组学数据分析'],广州普立新信息科技有限公司,股份制企业 ,20人以下 ,广州
市场调研与分析,5千-1万,广州-天河,不限,大专,"['企业调研', '市场信息收集', '全职', '咨询顾问', '电话咨询']",广东轩晟荣投资管理有限公司,民营 ,20-99人 ,广州
BI数据应用开发工程师,1.5万-2万,广州-越秀,不限,本科,"['报表开发', 'MySQL']",中科江南数字信息技术(广州)有限公司,其它 ,100-299人 ,广州
大数据开发实习生,100-200/天,广州-天河,无经验,本科,"['ETL开发', 'Hive']",亚信科技,民营 ,10000人以上 ,广州
临床数据管理专员,5千-1万,广州-海珠,1-3年,本科,"['临床数据分析', '临床试验']",广州循证医药科技有限公司,民营 ,20-99人 ,广州
大数据工程师,1万-1.5万,广州-黄埔,3-5年,本科,"['数据治理', '数仓开发', '数据建模', 'Hadoop', 'Hive', 'Shell', 'Oracle', 'MySQL']",华大天元(北京)科技股份有限公司,上市公司 ,100-299人 ,广州
市场分析助理,100-200/天,广州-天河,无经验,本科,"['用户调研', '行业研究']",东谱科技(广州)有限责任公司,民营 ,20-99人 ,广州
大数据工程师,9千-1.2万,广州-天河,3-5年,本科,"['Java', 'Hadoop', 'Kafka', '数据中台', '数据治理', '数据平台', 'MySQL']",广州仁合时创信息技术有限公司,民营 ,100-299人 ,广州
数据治理项目经理,1万-1.5万,广州-海珠,3-5年,大专,"['数据治理', 'ETL开发', '数据湖', '数据中台', 'Hadoop', '数仓开发', '报表开发', 'Oracle', 'MongoDB', '实时数仓', '数据挖掘']",江苏金智教育,股份制企业 ,500-999人 ,广州
大数据开发工程师,1.1万-1.5万,广州-海珠,3-5年,本科,"['数据挖掘', '数据建模']",贵州禾尧科技有限公司,民营 ,100-299人 ,广州
项目经理（业务分析方向）,1.1万-1.9万,广州-番禺,3-5年,本科,"['Python', 'SQL']",SHEIN,民营 ,10000人以上 ,广州
数据工程师（英语好+线上面试）,1.3万-2.5万,广州-黄埔,不限,本科,"['Java', 'Python', 'Hadoop', 'Hive', 'Spark', 'Kafka', 'Oracle', 'MySQL']",深圳建广数字科技有限公司青岛分公司,民营 ,1000-9999人 ,广州
分析师助理,7千-1.3万,广州-番禺,不限,大专,"['股票市场', '期货市场', '基金市场', '投资分析']",广州元鼎投资发展有限公司,其它 ,20-99人 ,广州
信息录入员（市场分析向）,4千-6千,广州-天河,1年以下,大专,"['竞品分析', '行业研究', '市场信息收集', '数据分析思维']",蒲公英(广州)数字营销有限公司,合资 ,20-99人 ,广州
初级金融分析员（高晋升空间）,5千-1万,广州-天河,不限,本科,"['期权研究', '基本面研究', '经济研究']",广东致远蓝图项目管理有限公司,民营 ,100-299人 ,广州
大数据工程师,1.1万-1.4万,广州-黄埔,3-5年,本科,"['Hadoop', 'Spark', 'Kafka', 'MapReduce']",福建国信立联科技集团有限公司,民营 ,100-299人 ,广州
临床数据管理专员(J10021),1.5万-2万,广州-越秀,1-3年,本科,"['临床数据分析', '临床试验', '数据管理', '临床数据管理', '数据QC', '建库', 'EDC']",联邦制药,上市公司 ,10000人以上 ,广州
信贷风险分析岗,1万-1.2万,广州-海珠,1-3年,本科,"['风控管理', '信贷风险分析']",广州广汽融资租赁有限公司,国企 ,100-299人 ,广州
经营分析写作岗,1.9万-2.5万,广州-天河,无经验,硕士,"['文秘', '文员']",广发证券,上市公司 ,1000-9999人 ,广州
大数据开发工程师（线上面试/双休）,1.2万-2.2万,广州-黄埔,1-3年,本科,"['数据运维', 'Java', 'Spark', 'Scala', '数据迁移', '数据平台', '实时数仓', '数据治理', 'Hive', 'Hadoop', 'SQL Server']",博彦科技,上市公司 ,10000人以上 ,广州
报告编辑（研究分析方向）,7千-9千,广州-番禺,1-3年,本科,"['行业研究', '市场研究', '用户调研', '定量研究', '定性研究', '企业调研', '全职', '咨询顾问']",广州艾媒数聚信息咨询股份有限公司,股份制企业 ,100-299人 ,广州
数据员-对接银行系统,4千-6千,广州-黄埔,不限,大专,['日常数据对接'],广西恒运信息咨询有限公司广州分公司, ,20-99人 ,广州
大数据开发（驻场）,1.3万-1.7万,广州-黄埔,3-5年,本科,"['数仓开发', '数据建模', '数据治理', '数据平台', '数据中台', 'Java', 'Python', 'Spark', 'Hive']",彩讯科技股份有限公司,上市公司 ,1000-9999人 ,广州
数据开发工程师,1.2万-2万,广州-黄埔,3-5年,本科,"['Hadoop', 'Spark', 'MySQL', 'Java']",深圳建广数字科技有限公司青岛分公司,民营 ,1000-9999人 ,广州
经营分析经理（base集团）,1.8万-3.5万,广州-越秀,3-5年,本科,"['SQL', 'Power-BI', 'Tableau', '电商类产品']",朴朴超市,民营 ,10000人以上 ,广州
证券分析实习生,6千-1万,广州-番禺,不限,本科,"['投资分析', '基本面分析', '公司分析', '技术面分析', '金融业', '股票市场', '证券从业资格证', '证券投资咨询资格证']",广州经传多赢投资咨询有限公司,民营 ,500-999人 ,广州
建材行业市场分析经理,9千-1.4万,广州-南沙,3-5年,大专,"['产品分析   价格分析   建材', '市场价格分析', '建材行业']",广州华威晟商贸有限公司,民营 ,100-299人 ,广州
金融分析师CFA（国企+双休）,1.2万-2.2万,广州,1-3年,大专,"['基金数据分析', '银行数据分析', '信托数据分析', '保险数据分析', '投融资数据分析', '金融业', '基金从业资格证']",工银安盛人寿保险有限公司广州中心支公司海珠营销服务部,合资 ,1000-9999人 ,广州
金融分析实习,138-148/天,广州-海珠,无经验,本科,"['经济分析', '金融分析', '期货研究', '经济研究']",金十数据,民营 ,100-299人 ,广州
大数据开发工程师,1.2万-1.5万,广州-白云,3-5年,大专,"['报表开发', 'Hadoop', 'SQL']",北京联合永道软件股份有限公司,民营 ,500-999人 ,广州
数据开发,1.5万-2.5万,广州-黄埔,3-5年,大专,"['Java', 'Spark', 'Hive', 'CI/CD', 'Python', 'Hadoop', 'Kafka', '外企纯英文工作环境', '实时数仓', '数据运维', '英语口语流利']",深圳建广数字科技有限公司青岛分公司,民营 ,1000-9999人 ,广州
大数据研发工程师（校招）,1.2万-2万,广州-黄埔,不限,学历不限,"['Python', 'Java', 'Hadoop', 'Spark']",多益网络有限公司,民营 ,1000-9999人 ,广州
大数据开发工程师,8千-1.5万,广州-越秀,3-5年,本科,"['HDFS', 'HBase', '数据湖', 'Oracle', 'MySQL', '数据中台', 'Scala', '大数据分析']",世界珠寶投資協會有限公司,港澳台公司 ,20-99人 ,广州
广东大数据工程师/讲师,1.2万-1.5万,广州-白云,1-3年,硕士,"['Python', 'Java', 'Hadoop', 'Hive', '大数据分析', '数据挖掘']",北京中科特瑞科技有限公司,民营 ,100-299人 ,广州
市场调研与分析研究员,6千-1.1万,广州-越秀,1-3年,本科,"['office', '市场研究']",广东策智市场信息咨询股份有限公司,股份制企业 ,20-99人 ,广州
金融分析师助理,4千-8千,广州-番禺,不限,大专,"['基本面研究', '技术面研究', '期货研究', '证券研究', '基金研究', '互联网金融研究', '证券从业资格证', '基金从业资格证']",广州元鼎投资发展有限公司,其它 ,20-99人 ,广州
大数据平台研发,1万-1.4万,广州-天河,3-5年,大专,"['Java', 'Python', 'Hadoop', 'Hive']",浪潮集团,国企 ,10000人以上 ,广州
证券分析师,1.4万-2.5万,广州-越秀,不限,硕士,"['金融业', '房地产', '建筑业', 'IT/互联网', '行业分析', '投资分析', '能源/环保', '宏观经济分析']",广东省国际工程咨询有限公司,国企 ,1000-9999人 ,广州
大数据平台工程师,1.5万-2万,广州-天河,3-5年,本科,"['数据湖', '数据平台', 'Hadoop', 'Hive']",广州市品高软件股份有限公司,上市公司 ,500-999人 ,广州
大数据开发工程师(006069),1.2万-1.5万,广州-越秀,5-10年,本科,"['Hive', 'Yarn', 'Flink']",广州南天电脑系统有限公司,股份制企业 ,500-999人 ,广州
车联网数据开发高级工程师(J10453),1.6万-2.3万,广州-花都,5-10年,本科,"['数据挖掘', '数据建模']",东风日产乘用车公司,合资 ,10000人以上 ,广州
大数据开发工程师,1.1万-1.6万,广州-黄埔,1-3年,本科,"['Python', 'Hadoop', 'Hive', 'HDFS']",润和软件,上市公司 ,1000-9999人 ,广州
大数据开发实习生,2千-3千,广州-天河,不限,本科,"['Scala', 'Java', '大数据', 'Hadoop', 'Spark']",亚信科技,民营 ,10000人以上 ,广州
证券分析师/股票分析师/金融分析师,9千-1.8万,广州,不限,本科,"['证券研究', '企业研究', '基本面研究']",金证研,民营 ,100-299人 ,广州
数据开发工程师,1.5万-3万,广州-黄埔,5-10年,大专,"['Python', 'ETL开发', 'Hadoop', 'Hive', 'Yarn', 'Sqoop', 'Flink', 'HDFS']",深圳市新曜科技有限公司,民营 ,20-99人 ,广州
市场分析经理,1.1万-1.6万,广州-南沙,5-10年,本科,"['市场营销', '策划', '市场分析', '经营分析']",宏信建发,合资 ,1000-9999人 ,广州
大数据开发工程师,1.1万-1.8万,广州-天河,5-10年,大专,"['实时数仓', 'Flink']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,广州
数据工程师,面议,广州-天河,3-5年,本科,"['数据运维', '数据治理', '数据挖掘', 'SQL Server', 'MySQL', 'Oracle', 'SQL调优', 'Python', 'Shell', 'Hadoop', '存储过程']",中软国际,上市公司 ,10000人以上 ,广州
证券分析师助理,60-80/天,广州-番禺,无经验,大专,"['股票市场', '基金市场', '期货市场', '技术面分析']",广州元鼎投资发展有限公司,其它 ,20-99人 ,广州
金融分析师,1万-2万,广州-天河,不限,学历不限,"['不限经验', '信贷咨询', '银行产品']",广州小雷人信息服务有限公司,民营 ,500-999人 ,广州
大数据开发主管（驻场）双休/线上,1.6万-2.2万,广州-黄埔,3-5年,本科,"['数据建模', 'Java', 'ETL开发', '数据挖掘', 'Spark', '管理经验', 'ETL', '南方电网经验']",彩讯科技股份有限公司,上市公司 ,1000-9999人 ,广州
经营分析,9千-1.4万,广州-海珠,3-5年,本科,"['SQL', '数学/统计学专业']",上海哈啰普惠科技有限公司,民营 ,1000-9999人 ,广州
市场分析专员,8千-1.3万,广州-越秀,3-5年,本科,"['市场研究', '市场信息收集', '行业研究', '全职']",中博科技(广东)有限公司,民营 ,100-299人 ,广州
数据库开发工程师,1.1万-1.8万,广州-天河,3-5年,本科,"['数据中台', 'Python', 'Shell', 'Spark', 'SQL Server', 'Pandas', 'PowerBI', 'Linux']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,广州
车联网及大数据技术规划(J10734),1.6万-2.3万,广州-花都,3-5年,本科,"['数据建模', '数据挖掘']",东风日产乘用车公司,合资 ,10000人以上 ,广州
临床数据管理员,9千-1.5万,广州-黄埔,1-3年,本科,"['临床数据分析', 'CRO']",广东杰纳医药科技有限公司,民营 ,100-299人 ,广州
大数据开发工程师（汇丰银行）,1.5万-1.9万,广州-天河,3-5年,本科,"['Scala', 'Spark', '数据建模', 'Hive']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,广州
报告分析师助理,6千-1.2万,广州-天河,1-3年,大专,"['临床监查员', '临床协调', '临床数据分析', '微生物检测', '液相色谱分析', 'DNA', 'CRO', 'CRC']",广州市白云区大源瀚康健康管理咨询中心, ,,广州
市场分析专员,8千-1.3万,广州-越秀,1-3年,本科,"['市场研究', '行业研究', '市场信息收集', '全职']",广科产业科技(广东)有限公司,民营 ,20-99人 ,广州
大数据软件工程师（南网）,1.6万-2万,广州-黄埔,3-5年,本科,"['数据挖掘', '数据治理', '数据平台', '数仓开发', 'Java', 'Flink', 'Spark', 'Hive', 'Yarn', 'Oracle', 'MySQL']",爱多邦(北京)信息技术服务有限公司,民营 ,100-299人 ,广州
金融分析师,2万-2.5万,广州-越秀,不限,本科,"['特许金融分析师一级', '股票市场', '期货市场', '技术面分析', '风险分析', '量化分析', '投资分析', '基本面分析', '金融量化', '实操经验', '投资交易']",广州鹏盛信息技术有限公司,民营 ,20-99人 ,广州
KUBERNETES（K8S）数据工程师,1.2万-2.4万,广州-黄埔,3-5年,大专,"['Kubernetes', 'Docker', 'UNIX/LINUX', 'PREM', 'Spark', 'Kafka', 'Shell', 'Python']",深圳市新曜科技有限公司,民营 ,20-99人 ,广州
大数据开发工程师,1.4万-2万,广州-黄埔,5-10年,本科,"['Hadoop', 'Java', '数据挖掘', 'Flink', 'Spark', 'Hive']",广州海颐软件有限公司,民营 ,500-999人 ,广州
期货分析师,1万-1.3万,广州-黄埔,1-3年,大专,"['基本面研究', '经济研究', '技术面研究', '期货研究', '互联网金融研究']",东方汇金期货有限公司,民营 ,100-299人 ,广州
数据治理工程师 (MJ002000),1.5万-2.5万,广州-黄埔,5-10年,硕士,"['数据治理', '数据挖掘', '数仓开发', '数据建模', '数据中台']",广电运通,上市公司 ,10000人以上 ,广州
经营分析,1.5万-2.5万,广州-越秀,5-10年,本科,"['经营分析', '绩效考核']",广东省国际工程咨询有限公司,国企 ,1000-9999人 ,广州
市场调研与分析研究员,8千-1万,广州-越秀,1-3年,本科,"['office', '市场研究']",广东策智市场信息咨询股份有限公司,股份制企业 ,20-99人 ,广州
广州/深圳 - 业务绩效分析经理,1.8万-3万,广州-天河,5-10年,本科,"['数据分析', '业务绩效分析']",毕马威华振,外商独资 ,1000-9999人 ,广州
资深证券分析师主播,1万-1.5万,广州-番禺,不限,本科,"['证券从业资格证', '基金从业资格证']",邢帅教育,上市公司 ,500-999人 ,广州
高级数据开发,1.5万-1.8万,广州-天河,5-10年,本科,"['实时数仓', '数据中台', '数据平台', 'Python', 'Shell', 'Hadoop', 'Hive', 'Flink', 'Flume']",德科信息有限公司,民营 ,1000-9999人 ,广州
大数据平台技术经理,1万-1.5万,广州-黄埔,3-5年,本科,"['Java', '大数据', '平台', '技术经理', '大数据框架']",誉维生物,民营 ,100-299人 ,广州
Junior Associate 数据咨询专员,7千-8千,广州-天河,不限,本科,"['SQL', 'Python', '行业分析', '需求分析', '商业分析', '数据采集', '数据挖掘', '数据建模']",上海慕悉玛商务咨询有限公司,外商独资 ,20人以下 ,广州
证券分析顾问,6千-1万,广州-番禺,不限,本科,['证券从业资格证'],广州经传多赢投资咨询有限公司,民营 ,500-999人 ,广州
"Guangzhou - 业务绩效分析专员, Audit (MJ002393)",7千-9千,广州-天河,3-5年,本科,['excel'],毕马威华振,外商独资 ,1000-9999人 ,广州
大数据开发工程师,1.5万-2万,广州-越秀,3-5年,本科,"['数据中台', '实时数仓', 'Java', 'Spark', 'Flink', 'Kafka', 'MySQL', 'ClickHouse']",华据医疗评估信息技术(北京)有限公司,民营 ,100-299人 ,广州
大数据开发工程师,1.8万-2.8万,广州-天河,3-5年,本科,"['Hadoop', 'Spark', 'Flink', 'MySQL', 'HBase', 'SQL Server']",亚信科技,民营 ,10000人以上 ,广州
证券助理（辅助证券分析）,6千-1.1万,广州,不限,本科,['金融业'],广州经传多赢投资咨询有限公司,民营 ,500-999人 ,广州
大数据开发工程师,1.5万-2.2万,广州-黄埔,3-5年,本科,"['大数据开发', 'Java', 'GO']",深圳市南电云商有限公司,民营 ,500-999人 ,广州
数据建模工程师,1.8万-2.2万,广州-南沙,5-10年,大专,"['ETL开发', '数据建模', '数据平台', 'Oracle', 'MySQL']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,广州
大数据开发工程师,1.4万-2.2万,广州-海珠,3-5年,本科,"['Java', 'Hadoop', 'Spark']",上海晨钦信息科技服务有限公司,上市公司 ,1000-9999人 ,广州
分析师（期货）,7千-1.1万,广州-天河,3-5年,本科,"['投资分析', '量化分析', '风险分析', '技术面分析', '期货市场', '股票市场', '债券市场', '基金市场']",国金期货有限责任公司,上市公司 ,100-299人 ,广州
证券分析顾问,7千-9千,广州-番禺,不限,本科,"['证券分析', '基本面分析', '行业分析', '技术面分析', '量化分析', '投资分析', '股票市场', '债券市场']",广州经传多赢投资咨询有限公司,民营 ,500-999人 ,广州
临床数据管理经理/高级经理,1.5万-3万,广州-黄埔,3-5年,本科,"['临床数据管理', '临床数据分析']",百奥泰,上市公司 ,500-999人 ,广州
证券分析师（直播）,1.1万-2万,广州-天河,1-3年,大专,"['证券从业资格证', '卖方分析师', '财经主播', '直播/授课经验']",慧研智投科技有限公司广州分公司,民营 ,500-999人 ,广州
大数据开发工程师,1.5万-2.5万,广州-黄埔,5-10年,本科,"['数仓开发', 'ETL开发', '数据中台', 'Shell', 'Hive', 'Spark', 'Oracle', 'DB2']",亚信科技,民营 ,10000人以上 ,广州
证券分析师,1.6万-2万,广州-越秀,1-3年,本科,"['股票市场', '期货市场', '投资分析', '基本面分析', '宏观经济分析']",广东赛伯乐产控投资有限公司,其它 ,20-99人 ,广州
证券分析师,9千-1.5万,广州-天河,10年以上,本科,"['股票市场', '投资分析']",广东科德投资顾问有限公司,民营 ,100-299人 ,广州
储备分析师,1.5万-2.2万,广州-越秀,不限,本科,"['宏观经济分析', '公司分析', '投资技术', '战略投资', '私人财富', '资产规划', '研究报告', '市场研究']",广州鹏盛信息技术有限公司,民营 ,20-99人 ,广州
java大数据开发工程师,2万-2.5万,广州-天河,5-10年,大专,"['Kafka', 'Python', 'Java']",上海晨钦信息科技服务有限公司,上市公司 ,1000-9999人 ,广州
证券分析师（双休+六险一金+培训机制）,9千-1.8万,广州,不限,本科,"['投资分析', '文字功底']",金证研,民营 ,100-299人 ,广州
博士后（大数据方向研究员）,3万-4.5万,广州-南沙,不限,博士,"['大数据', '区块链', '自动化', 'Scala', 'Python', '机器学习']",广州南沙资讯科技园有限公司博士后科研工作站,民营 ,20-99人 ,广州
ICBC-AXA 金融分析师CFA,9千-1.5万,广州,1-3年,本科,['互联网金融研究'],工银安盛人寿保险有限公司广东分公司,股份制企业 ,1000-9999人 ,广州
大数据开发,1.6万-3万,广州-黄埔,5-10年,本科,"['Scala', 'Hadoop', 'Spark', 'Oracle', 'MySQL', 'Shell']",博彦科技,上市公司 ,10000人以上 ,广州
大数据开发（Java+spark+英语）,1.8万-3万,广州-黄埔,3-5年,本科,"['Java', 'Spark', '英语']",北京神州数字科技有限公司,上市公司 ,10000人以上 ,广州
Senior Data Team Lead 临床数据管理,3万-5万,广州-越秀,10年以上,本科,['CRO'],艾昆纬医药科技(上海)有限公司,外商独资 ,10000人以上 ,广州
证券直播分析师,2万-3万,广州-天河,3-5年,本科,"['IT/互联网', '投资顾问证', '金融财经', '证券分析师', '股票授课', '广告/传媒']",慧研智投科技有限公司广州分公司,民营 ,500-999人 ,广州
高级临床数据管理员,1.5万-2.5万,广州-黄埔,3-5年,本科,"['CRF设计', '生物医疗', '数据库构建', '数据挖掘', '临床数据管理']",广东杰纳医药科技有限公司,民营 ,100-299人 ,广州
管培生（数据统计方向）,7千-1万,广州-天河,1-3年,本科,['市场信息收集'],安徽务励人力资源服务有限公司, ,20人以下 ,广州
大数据开发工程师1503,1.6万-3万,广州-天河,1-3年,本科,"['数据挖掘', '数据治理', '实时数仓', '报表开发', 'ETL开发', '数仓开发', '数据建模', '数据中台', '数据平台']",智联猎头,其它 ,1000-9999人 ,广州
金融分析实习生（技能培养+双休）,6千-1.2万,广州-越秀,不限,大专,"['经济研究', '互联网金融研究', '政策研究', '基本面研究', '技术面研究', '互联网金融', '实习生', '双休']",广州智盈顺控股有限公司,民营 ,100-299人 ,广州
平台开发工程师（数据库）,1万-1.8万,广州-天河,1-3年,本科,"['Python', 'MySQL', 'Redis', 'MongoDB', 'CSS', 'WEB框架', 'GO']",北京外企德科人力资源服务深圳有限公司,合资 ,1000-9999人 ,广州
数据工程师/Data Engineer,1.5万-3万,广州-黄埔,不限,学历不限,"['Python', 'Hive', 'Hadoop', 'Spark', 'NLP', 'DEEP LEARNING']",深圳市优诚信息技术有限公司,民营 ,100-299人 ,广州
经济分析员,1.3万-1.5万,广州-越秀,不限,本科,"['经济研究', '基本面研究', '政策研究', '技术面研究', '证券研究']",广州智盈顺控股有限公司,民营 ,100-299人 ,广州
高薪网络运营+小白,6千-1.2万,广州-白云,不限,学历不限,"['运营数据分析', '销售数据分析', '行业分析']",广州潜海运动网络科技有限公司, ,20-99人 ,广州
数学建模/金融建模（欢迎应届生）,6千-8千,广州-海珠,不限,本科,['算法'],深圳市天软科技开发有限公司,民营 ,100-299人 ,广州
商品专员,8千-1.6万,广州-番禺,1-3年,大专,['服装零售'],广州市长天品牌管理有限公司, ,20-99人 ,广州
销售助理,5千-7千,广州-番禺,不限,本科,"['流程管理', '业务管理']",广州基业长青新材料有限公司,民营 ,100-299人 ,广州
BI工程师(005665),8千-1.2万,广州-天河,1-3年,本科,"['BI', 'Greenplum', 'MySQL']",广州南天电脑系统有限公司,股份制企业 ,500-999人 ,广州
区域战略专员,9千-1.1万,广州-天河,无经验,本科,"['数学/统计学专业', '管理咨询工作经验', '抗压力强']",蜜雪冰城股份有限公司广州分公司,股份制企业 ,1000-9999人 ,广州
新零售综合专员,5千-6千,广州-海珠,不限,大专,[],珠江啤酒,国企 ,1000-9999人 ,广州
BI开发工程师,8千-1.5万,广州-荔湾,1-3年,本科,"['数据治理', '数据挖掘', '数据采集', '报表开发', '数据清洗', 'Hadoop', 'Spark', 'Power BI', 'Smartbi']",广州市凡普信息科技有限公司,股份制企业 ,20-99人 ,广州
销售助理,6千-9千,广州-越秀,1-3年,本科,['数据分析'],TOTO,外商独资 ,100-299人 ,广州
收益管理专员,5千-7千,广州-番禺,1-3年,本科,"['文旅行业', '业务数据分析', '业务模式/运营策略优化', 'SQL', '统计/数学相关专业']",长隆集团,民营 ,10000人以上 ,广州
助理软件应用工程师(2024届),6千-9千,广州-番禺,不限,本科,['SQL'],广东好太太科技集团股份有限公司,上市公司 ,1000-9999人 ,广州
BI工程师(J10206),9千-1.3万,广州-越秀,1-3年,本科,"['报表开发', '数据可视化', 'SQL', 'Kettle', 'FineBI']",广州华苑园林股份有限公司,民营 ,500-999人 ,广州
BI工程师,8千-1.5万,广州-天河,3-5年,本科,"['SQL', '数据治理', '数据清洗', '数据仓库', '数据挖掘', '数据采集', 'Hadoop', '数据可视化']",广州辰智信息科技有限公司,民营 ,20-99人 ,广州
运营支持专员,8千-1.2万,广州-黄埔,3-5年,本科,[],立邦投资有限公司,外商独资 ,10000人以上 ,广州
BI开发工程师,1.2万-1.5万,广州-天河,3-5年,本科,['Smartbi'],江苏鑫瑞源科技有限公司,民营 ,20-99人 ,广州
SAS程序员,1.3万-1.5万,广州-黄埔,不限,本科,"['SAS', '数据库构建']",广州玻思韬控释药业有限公司,合资 ,300-499人 ,广州
生物统计师,1.1万-1.2万,广州-天河,不限,硕士,"['生物统计师', '应用统计学', '统计学']",斯丹姆,民营 ,1000-9999人 ,广州
市场研究助理,8千-1万,广州,无经验,本科,"['市场研究', '行业研究', '定量研究', '定性研究', '全职']",海大集团,上市公司 ,10000人以上 ,广州
离线开发工程师,1.2万-1.8万,广州-天河,3-5年,本科,"['Python', 'Hive', 'Spark', 'Flink']",厦门至恒融兴信息技术股份有限公司,民营 ,1000-9999人 ,广州
商品企划专员,5千-1万,广州-天河,1-3年,大专,"['品牌策划', '海外策划', '批发/零售']",广州渡看国际商贸有限公司,外商独资 ,20-99人 ,广州
报表开发工程师（驻场）,1.3万-2万,广州-越秀,5-10年,本科,"['ETL开发', '报表开发', 'MySQL']",广州科政数码科技有限公司,民营 ,100-299人 ,广州
助理下单员,4千-8千,广州-海珠,1-3年,大专,"['技术面分析', '风险分析', '互联网金融', '双休']",广州金泽信息科技有限公司, ,20-99人 ,广州
商品助理,4千-6千,广州-天河,1-3年,大专,"['批发/零售', '英语']",广州渡看国际商贸有限公司,外商独资 ,20-99人 ,广州
销售预测经理 (MJ000507),2.2万-3万,广州-天河,5-10年,本科,"['销售预测', '业务预测', '数据分析']",美赞臣营养品(中国)有限公司,合资 ,1000-9999人 ,广州
助理研究员,150-200/天,广州-海珠,无经验,本科,"['市场研究', '用户调研', '行业研究', '用户分析', '企业调研', '市场信息收集']",央视市场研究,合资 ,500-999人 ,广州
