岗位名称,薪资,工作地点,工作经验,学历要求,企业,岗位需求,公司类型,岗位需求人数,企业服务
信息系统开发(数据治理及应用)-岚图汽车,1.5万-2.5万,武汉·汉阳·永丰街,3-5年,本科,东风汽车,数据治理,国企,10000人以上,汽车研发/制造
软件开发（各种语言+接受考研延期断档）,1.5万-2.8万·14薪,武汉·江夏·豹澥,1-3年,本科,外企德科数字技术有限公司,"C语言, Java, Python, MySQL, Oracle",合资,10000人以上,人力资源服务
数据开发工程师（2025届校招）,1.8万-2.8万·14薪,武汉·江夏·佛祖岭,无经验,本科,上海紫途电子商务有限公司,"数据架构, 数据挖掘, 数据库开发, Hadoop",上市公司,10000人以上,互联网
数据开发工程师,1万-1.4万,武汉·武昌,3-5年,本科,武汉众信开云科技有限责任公司,"数据服务设计、开发, Python, Shell, Java",Informatica,20-99人,IT服务
数据库技术顾问-武汉,7千-9千·14薪,武汉·江汉,无经验,本科,云和恩墨,"SQL, Linux, Oracle, MySQL, PostgreSQL, OCP, OCA, ",民营,500-999人,IT服务
Linux C开发工程师（数据安全）(J14002),1万-1.8万·13薪,武汉·东西湖·径河,经验不限,本科,北京天融信网络安全技术有限公司,"Python, Shell, 网络协议, 数据结构, 网络安全产品研发, , , , ",上市公司,1000-9999人,通信/网络设备
DBA数据库工程师,6千-8千·13薪,武汉·江夏·佛祖岭,3-5年,大专,富士康（武汉）科技工业园,"SQL, Oracle, DB",合资,10000人以上,IT服务
数据开发工程师,9千-1.4万·13薪,武汉·武昌·东湖风景区,3-5年,大专,武汉敬思亭信息技术有限公司,"H5前端网页, NETFLIX, SPRINGCLOUD, VUE/REACT, , , , ",民营,20-99人,互联网
软件开发工程师,1.5万-3万·16薪,武汉·江夏·豹澥,经验不限,本科,外企德科数字技术有限公司,"Python, C++, C, Spring",合资,10000人以上,人力资源服务
软件开发总工程师,1.5万-3万·13薪,武汉·武昌·中南路街,1-3年,本科,湖南格致分析仪器有限公司,"算法研究, 滤波算法",民营,20-99人,仪器仪表制造
dba数据库管理员,1.4万-2.2万,武汉·洪山·花山,3-5年,本科,软通动力信息技术(集团)股份有限公司,"Python, SQL, MySQL, Linux, K8S, OCP, OCA, OCM",民营,10000人以上,互联网
Python开发工程师,9千-1.6万,武汉·江夏·关东,1-3年,本科,武汉祺云科技有限公司,"数据结构, Python, 算法",民营,20人以下,计算机软件
大数据分析专家主任工程师-东风商用车技术中心,3.5万-5.5万,武汉·蔡甸·沌阳,10年以上,硕士,东风汽车,"数据治理, 数据挖掘",国企,10000人以上,汽车研发/制造
中级数据开发工程师,9千-1.4万,武汉·江汉,1-3年,本科,东软集团股份有限公司,"数据库开发, 金融项目经验",合资,500-999人,计算机软件
数据中台项目经理,1万-1.7万,武汉·洪山·梨园,5-10年,本科,武汉众信开云科技有限责任公司,,中台产品,20-99人,IT服务
运营分析-东风乘用车销售公司,1万-2万,武汉·蔡甸·沌阳,1-3年,本科,东风汽车,"数据治理, 数据挖掘, 数据建模",国企,10000人以上,汽车研发/制造
python开发工程师,1万-1.5万,武汉·洪山·花山,1-3年,本科,软通动力信息技术(集团)股份有限公司,"Shell, Redis, NoSQL, Sql, PyQt",民营,10000人以上,互联网
电力交易算法工程师（武汉智信）,9千-1.3万,武汉·江夏·豹澥,1-3年,本科,中国电建集团江西省电力建设有限公司,"算法研究, PyTorch, TensorFlow, 电力交易, 大数据, ",国企,1000-9999人,电力/水利/热力/燃气
数据产品经理,1.5万-2.5万,武汉·江夏,5-10年,本科,广州和众人力资源服务有限公司,"大数据产品, 数据分析, 产品设计, TO B, 大数据, 数字化, ",民营,100-299人,人力资源服务
数据挖掘分析工程师,1万-1.5万,武汉·江夏·豹澥,1-3年,本科,光谷信息,"数据爬取, 数据挖掘",股份制企业,500-999人,计算机软件
临床高级SAS程序员,8千-1.6万,武汉·江汉,1-3年,本科,武汉知止医药科技有限公司,"SAS, 生物统计学, 数据建模, SPSS, SQL, 数据库构建, ",股份制企业,20-99人,医药制造
政务行业数据治理/管理专家,2万-4万,武汉·江夏·关东,3-5年,本科,亚信科技,"数据治理, 大数据平台, 数据分析",民营,10000人以上,通信/网络设备
高级数据工程师,2万-3万,武汉·洪山·关山,3-5年,本科,曼迪匹艾（武汉）科技服务有限公司,英语六级,其它,1000-9999人,新闻/出版
Python,9千-1.3万,武汉·武昌,3-5年,本科,中电金信软件有限公司,"Java, Django, Tornado, MySQL, Oracle, 银行",国企,10000人以上,计算机软件
数据运营-东风乘用车销售公司,1.3万-2.5万,武汉·蔡甸·沌阳,1-3年,本科,东风汽车,"销售数据运营, 经营数据分析, SPSS, SAS",国企,10000人以上,汽车研发/制造
架构师,2万-3万,武汉·洪山·关山,5-10年,本科,郑州迪维勒普科技有限公司,"大数据架构, SpringBoot, Java, Python",股份制企业,100-299人,IT服务
业务分析师 （数据治理）,1.5万-3万,武汉·武昌·水果湖街,5-10年,本科,某公司,Hadoop,港澳台公司,500-999人,互联网
软件开发,2万-4万,武汉·江夏·豹澥,经验不限,本科,内蒙古重晟信息技术服务有限公司,"Python, C, C++, 大数据, 前端, Java",民营,20-99人,互联网
数据治理实施顾问(J11926),1.1万-1.7万,武汉·洪山·关山,3-5年,本科,北京三维天地科技股份有限公司,"软件实施, 数据仓库, 数据中台, 数据清洗",股份制企业,1000-9999人,计算机软件
自动驾驶云平台数据挖掘工程师,1.6万-2.5万,武汉·蔡甸·沌阳,1-3年,本科,东风汽车集团股份有限公司,算法、海量数据挖掘,港澳台公司,500-999人,互联网
高级咨询顾问（数据应用方向）-联友科技,3万-5万,武汉·蔡甸·沌阳,5-10年,本科,东风汽车,"实施工程师/顾问, 需求分析工程师",国企,10000人以上,汽车研发/制造
数据治理顾问,1.5万-3万,武汉·洪山·关山,5-10年,本科,北京三维天地科技股份有限公司,"数据治理, 数据建模, 数据仓库, DMAM, 数据资产管理, 数仓",股份制企业,1000-9999人,计算机软件
ETL技术经理,1万-1.8万,武汉·黄陂·滠口,5-10年,本科,北京瑞天欣实数据科技有限公司,"SQL, Python, Shell, ETL, 风险集市, 数据建模",其它,20-99人,IT服务
架构师岗,1.5万-2.5万,武汉·洪山·关山,5-10年,本科,招商证券股份有限公司,"Java, 微服务架构, 容器技术, JQuery, SpringBoot, , , , ",股份制企业,1000-9999人,证券/期货
数据治理-岚图汽车,1万-2万,武汉·沌口,3-5年,本科,东风汽车,"数据分析, 统计学, 销售业务数据",国企,10000人以上,汽车研发/制造
数据库运维工程师（DBA）,1.3万-2万,武汉·江夏·豹澥,3-5年,本科,武汉达梦数据库股份有限公司,"Java, MySQL, OCP, Docker",国企,1000-9999人,IT服务
高级数据工程师,1.9万-3.5万,武汉·硚口·六角亭,1-3年,本科,曼迪匹艾（武汉）科技服务有限公司,"数据挖掘, 数据仓库",其它,1000-9999人,新闻/出版
大数据平台架构工程师 (车联网)-岚图汽车,1.5万-2.5万,武汉·汉阳·永丰街,5-10年,本科,东风汽车,"数据分析, 数据架构, 运维开发",国企,10000人以上,汽车研发/制造
车联网云平台数据中台架构师,1.5万-2.5万,武汉·蔡甸·沌阳,5-10年,本科,东风汽车集团股份有限公司,,港澳台公司,500-999人,互联网
it数据开发工程师,1万-1.2万,武汉·江夏·豹澥,3-5年,大专,河南优服人力资源服务有限公司,数据架构,股份制企业,100-299人,人力资源服务
java开发工程师（数据治理）,1.5万-3万·13薪,武汉·洪山·九峰,5-10年,本科,武汉新能纪元技术有限公司,"Java, MySQL, Redis, Hadoop, Spark, REDUCE, Spring",民营,20-99人,人工智能
C/C++/Java/Python/JS软件开发/算法/数据,1.7万-3万·15薪,武汉·江夏·豹澥,经验不限,本科,外企德科数字技术有限公司,"Java, Python, C语言",合资,10000人以上,人力资源服务
python开发工程师,1万-1.3万,武汉·江夏·关东,3-5年,本科,山东纬横数据科技有限公司,"Java, C, C++, MySQL, Oracle, Python",民营,20-99人,计算机软件
前端开发工程师,1.2万-1.8万,武汉·武昌,3-5年,本科,易智瑞信息技术有限公司,"GIS/地图项目, JavaScript, HTML5, CSS, React, webpack, , , , ",民营,300-499人,计算机软件
R语言数据工程师,1.2万-1.4万,武汉·江岸·塔子湖街,1-3年,大专,北京金之盾信息技术有限公司,R语言,股份制企业,100-299人,IT服务
ETL项目经理,1万-1.8万,武汉·黄陂·滠口,5-10年,本科,北京瑞天欣实数据科技有限公司,"SQL, Python, Shell, 数仓开发, 风险集市, 数据建模, ETL",其它,20-99人,IT服务
Java大数据-西安,1.1万-1.6万,武汉·洪山·花山,3-5年,本科,软通动力信息技术(集团)股份有限公司,"数据库开发, Java, Shell, Flink, Spark, JAVA大数据",民营,10000人以上,互联网
Java软件开发（scala 开发经验）,1.5万-1.8万,武汉·洪山·九峰,5-10年,本科,北京信必优信息技术有限公司,"Java, Scala, Spark, 大数据, 高并发",外商独资,1000-9999人,计算机软件
算法工程师(数据）,2万-2.5万·13薪,武汉·洪山·左岭,经验不限,硕士,武汉国创科光电装备有限公司,"算法优化, 并行计算, 算法优化相关论文及专利, 211 985",股份制企业,20-99人,专用设备制造
高级统计程序员-2025校招 (MJ006988),1万-1.1万,武汉·江汉,经验不限,硕士,江苏恒瑞医药股份有限公司,"临床数据分析, 临床试验",股份制企业,10000人以上,医药制造
高级软件开发工程师（C#数据库开发）,2万-3万,武汉·洪山·关山,5-10年,本科,北京九思易自动化软件有限公司,"C#, 数据库, MySQL, SQL Server, Oracle",合资,20-99人,计算机软件
系统架构师,3万-4万,武汉·江夏·关东,5-10年,本科,南宁市卓天恒企业管理咨询有限公司,,民营,100-299人,计算机软件
算法/后端开发工程师（周末双休 六险一金）,1.8万-3.5万·14薪,武汉·江夏·豹澥,无经验,本科,外企德科数字技术有限公司,"Python, 搜索/推荐算法, PyTorch, TensorFlow, C++, Java, , , ",合资,10000人以上,人力资源服务
高级生物统计师,1.5万-3万·15薪,武汉·江汉·新华街,1-3年,硕士,特宝生物,SAS,上市公司,1000-9999人,医药制造
全国多地有岗Java/C++/C/python/算法/测开/前端/后端/数据,2万-4万·16薪,武汉·江夏·豹澥,1-3年,本科,内蒙古重晟信息技术服务有限公司,"Java, C语言, Python, 图形图像处理",GIS开发,机器人开发,互联网
Java/C/C++/JS/python/测试/运维开发/数据,1.7万-3万·14薪,武汉·江夏·豹澥,经验不限,本科,外企德科数字技术有限公司,"JavaScript, Python, C++",合资,10000人以上,人力资源服务
大数据产品设计工程师-东风商用车技术中心,2.6万-3.5万,武汉·蔡甸·沌阳,5-10年,本科,东风汽车,,国企,10000人以上,汽车研发/制造
dba数据库管理实习生,6千-8千·13薪,武汉·洪山·关山,经验不限,大专,武汉百惠灵科技有限公司,Java,Shell,20-99人,IT服务
IT（report),8千-1.1万,武汉·江夏·豹澥,3-5年,大专,外企德科数字技术有限公司,"JavaScript, MySQL, Oracle, Vue, 大数据",合资,10000人以上,人力资源服务
数据分析（营销方向）-岚图汽车,1万-1.5万,武汉·蔡甸·沌阳,3-5年,本科,东风汽车,Python,国企,10000人以上,汽车研发/制造
数据采集工程师,7千-1.1万,武汉·洪山·关山,3-5年,大专,武汉思安客技术有限公司,,C#,20-99人,IT服务
实习生--BI工程师,150-180/天,武汉·洪山·九峰,无经验,本科,北京傲韦科技有限公司,"Power BI, FineBI",股份制企业,100-299人,计算机软件
商业数据分析,8千-1.6万,武汉·江夏·关东,3-5年,本科,武汉方塘科技有限公司,数学/统计学专业,其它,10000人以上,培训/辅导服务
AI 数据分析工程师,3万-5万,武汉·东西湖·将军路,5-10年,本科,武汉瓜豆科技有限公司,"PyTorch, TensorFlow, Sklearn, 搜索/推荐算法",民营,20-99人,计算机软件
请大数据推荐给想挣钱的人！,8千-1.2万,西安·未央·张家堡,经验不限,学历不限,陕西乐送达供应链管理有限公司,20-99人,餐饮服务,20-99人,餐饮服务
互联网电商/大数据软件推广专员,7千-1.4万,西安·莲湖·环城西路,1-3年,高中,新骅光医疗科技集团有限公司,"互联网, 生物医疗/大健康, 医疗设备/器械, 电子商务, 新零售, , , , ",民营,1000-9999人,医疗设备/器械
大数据分析工程师,6千-1.2万,西安·雁塔·杜城,经验不限,本科,西安正麦科技有限公司,20人以下,计算机软件,20人以下,计算机软件
请大数据推荐给想挣钱的人！,8千-1.2万,西安·雁塔·小寨路,经验不限,学历不限,陕西乐送达供应链管理有限公司,20-99人,餐饮服务,20-99人,餐饮服务
Python大数据分析特训营课程/培训招生西安,8千-1万,西安·雁塔·小寨路,经验不限,大专,51Testing,"数据治理, 数据挖掘",民营,100-299人,计算机软件
数据开发（ETL工程师）,1.2万-2.4万,西安·雁塔·鱼化寨,3-5年,本科,中国邮电器材集团有限公司,"Oracle, MySQL, 数据开发, Hadoop",国企,1000-9999人,通信/网络设备
etl数据开发工程师,1.4万-1.8万,西安·雁塔·丈八沟,5-10年,本科,高伟达,"PostgreSQL, 大数据集群部署",外商独资,1000-9999人,计算机软件
开发工程师（JAVA/C#/数据/测试/前端）,1.4万-2.5万,西安·雁塔·鱼化寨,1-3年,本科,河南优服人力资源服务有限公司,"JavaScript, C#",股份制企业,100-299人,人力资源服务
大数据迁移测试,面议,西安·雁塔·鱼化寨,3-5年,本科,中软国际,"自动化测试, 软件测试, Python, Java, 大数据, 迁移",上市公司,10000人以上,计算机软件
数据治理/数据开发工程师-西安,1万-1.8万,西安·雁塔,5-10年,本科,厦门至恒融兴信息技术股份有限公司福州分公司,"数据治理, 银行, 监管报送",EAST,100-299人,计算机软件
中高级etl数据开发工程师,9千-1.4万,西安·新城·西一路,3-5年,本科,陕西朗知方林电子科技有限公司,"华为数据中台, ETL数据开发",民营,100-299人,计算机软件
数据开发工程师,1.2万-1.5万,西安·未央·张家堡,3-5年,本科,北京行展软件科技有限公司,"数据治理, 数据库开发, 数据仓库, 银行, 金融, 贷款",民营,20-99人,计算机软件
大数据运维,1万-1.8万,西安·雁塔·鱼化寨,3-5年,本科,软通动力信息技术(集团)股份有限公司,"数据库开发, Hadoop, Kafka, 大数据运维, GAUSSDB, hive, ",民营,10000人以上,互联网
软件开发,2万-4万,西安·雁塔,经验不限,本科,内蒙古重晟信息技术服务有限公司,"Python, C, C++, 大数据, 前端, Java",民营,20-99人,互联网
数据开发工程师,1.2万-1.5万,西安·未央·张家堡,5-10年,本科,北京行展软件科技有限公司,"数据库开发, 数据建模, Hadoop, Kafka, Flink, Python, , , , , ",民营,20-99人,计算机软件
数据开发工程师（学信统本+远程面试）,1万-1.5万,西安·雁塔·鱼化寨,3-5年,本科,软通动力信息技术(集团)股份有限公司,数据库开发,民营,10000人以上,互联网
数据分析开发工程师,1.2万-2万,西安·雁塔,5-10年,本科,深圳智蛋科技有限公司,"Python, Sql, linux, Django, Tornado",民营,100-299人,互联网
前端开发工程师,1.2万-1.8万,西安·雁塔·电子城,3-5年,本科,易智瑞信息技术有限公司,"GIS/地图项目, JavaScript, HTML5, CSS, React, webpack, , , , ",民营,300-499人,计算机软件
Java大数据-西安,1.1万-1.6万,西安·雁塔·鱼化寨,3-5年,本科,软通动力信息技术(集团)股份有限公司,"数据库开发, Java, Shell, Flink, Spark, JAVA大数据",民营,10000人以上,互联网
高级调度研发工程师（系统架构）,1.2万-1.8万,西安·雁塔,5-10年,本科,蒙帕信息,"Python, 架构师, 算法分离",股份制企业,100-299人,IT服务
经营分析,9千-1.4万,西安·雁塔·曲江,5-10年,本科,西安黑石智能科技有限公司,"Power-BI, SQL, 项目型产品",民营,500-999人,工业自动化
Java大数据-西安,1.1万-1.6万,西安·雁塔·鱼化寨,3-5年,本科,软通动力信息技术(集团)股份有限公司,"数据库开发, Java, Shell, Flink, Spark, JAVA大数据",民营,10000人以上,互联网
（长期外派-三星数据）java web工程师,7千-9千,西安·雁塔·鱼化寨,1-3年,学历不限,北京达融信科技集团有限公司,"JavaScript, CSS, Oracle, MySQL",民营,100-299人,互联网
云原生开发工程师,面议,西安·雁塔·鱼化寨,5-10年,本科,中软国际,"云计算架构, Java, Python, C++",上市公司,10000人以上,计算机软件
Python开发（统本+理工科）,1万-1.5万,西安·雁塔·鱼化寨,3-5年,本科,软通动力信息技术(集团)股份有限公司,Django,民营,10000人以上,互联网
数据接入工程师,5千-1万,西安·雁塔,1-3年,大专,西安华夏天信科技有限公司,"数据抽取, JavaScript, NODEJS",民营,20-99人,互联网
软件开发（各种语言+接受考研延期断档）,1.5万-2.8万·14薪,西安·雁塔,1-3年,本科,外企德科数字技术有限公司,"Java, Python, C语言, MySQL, Oracle",合资,10000人以上,人力资源服务
陕西全辖-数据分析岗 (MJ004223),7千-9千,西安·雁塔·长延堡,经验不限,本科,太平洋产险,"数据治理, 数据挖掘, 数据建模",股份制企业,10000人以上,证券/期货
数据分析师,1.5万-2.5万·13薪,西安·长安·细柳,5-10年,大专,西安创客村电子商务有限责任公司,"SPSS, Python, Tableau, 数据建模, 需求分析, SQL",民营,300-499人,互联网
AI架构师,3万-5万·15薪,西安·雁塔·鱼化寨,5-10年,本科,外企德科人力资源服务(四川)有限公司,"大数据架构, 大数据模型",合资,100-299人,人力资源服务
主数据咨询顾问,1万-1.5万,西安·雁塔,3-5年,大专,西安笃定信息技术有限公司,数据治理,民营,20-99人,计算机软件
Sqlserver数据库开发,6千-8千·14薪,西安·莲湖·西关,3-5年,大专,西安市糖酒集团有限公司,SQL Server,股份制企业,1000-9999人,互联网
数据分析师,8千-1.4万,西安·雁塔,1-3年,本科,福建罗德数字科技有限公司,"数据治理, 数据分析",民营,1000-9999人,专业技术服务
电力交易市场分析师,8千-1.5万,西安·雁塔,3-5年,本科,易事特集团股份有限公司,"Sql, Python",股份制企业,1000-9999人,电气机械/电力设备
大气数据分析师,7千-8千,西安·雁塔·大雁塔,1-3年,本科,广东旭诚科技有限公司,"大气, 组分站, VOC, 溯源分析, PMF",民营,100-299人,计算机软件
python大模型开发（短期）,1.4万-1.6万,西安·莲湖·桃园路,3-5年,大专,四川恒思亿信息技术有限公司,"Java, SPRINGBOOT",Python,20-99人,IT服务
数据分析（双休+五险一金）,6千-9千,西安·碑林·长安路,1-3年,硕士,惠诚(陕西)文化有限公司,20-99人,学术/科研,20-99人,学术/科研
数据分析师,7千-8千,西安·雁塔·大雁塔,1-3年,本科,广东旭诚科技有限公司,"大气, 组分站, VOC, 溯源分析, PMF",民营,100-299人,计算机软件
工厂数字孪生开发工程师,1.5万-2万,西安·未央·汉城,3-5年,本科,中机工程(西安)启源咨询设计有限公司,"数据库开发, 数据建模, Java",国企,100-299人,学术/科研
陕西丝路数据交易有限公司（市场营销）,8千-1.6万,西安·雁塔·丈八沟,3-5年,本科,陕西省大数据集团有限公司,,国企,100-299人,计算机软件
华为云GaussDB数据库开发工程师（C++/PYTHON/JAVA）,面议,西安·长安·郭杜,经验不限,本科,华为技术有限公司,"Java, Python, C++, Oracle, MySQL, SQL Server",民营,10000人以上,运营商/增值服务
高级业务分析师(J13128),1.5万-2.5万,西安·雁塔,5-10年,本科,先进数通,"烟草行业, 数据分析, 数据中台",股份制企业,1000-9999人,IT服务
商业数据分析专家,1.5万-2万,西安·碑林·太乙路,5-10年,本科,慧科讯业(北京)网络科技有限公司,"销售分析, 经营分析, 可视化呈现",外商独资,1000-9999人,互联网
（WFM）数据专员4-6K（双休）,4千-5千,西安·长安·王寺,1-3年,大专,深圳市成之恒人力资源有限公司,Power BI,民营,300-499人,人力资源服务
ES 搜索引擎与 AI 大模型工程师,1.5万-2万,西安·雁塔·电子城,5-10年,大专,西安导学科技有限公司,"Java, Python, SQL, 搜索引擎技术, 分布式技术, 算法基础, , ",民营,100-299人,计算机软件
DBA数据库工程师（日语）,1万-2万·14薪,西安·雁塔·丈八沟,3-5年,本科,NEC（中国）有限公司,"PMP, SQL, DBA",外商独资,1000-9999人,IT服务
数据分析助理,150-200/天,西安·雁塔·长延堡,无经验,本科,深圳云研互联科技有限公司,"数据挖掘, 报表开发",民营,20-99人,互联网
数据库开发,1.5万-3万·14薪,西安·雁塔,经验不限,本科,西安华为,"C++, C语言",民营,10000人以上,通信/网络设备
数据专员,5千-7千,西安·长安·王寺,1-3年,大专,软通动力信息技术(集团)股份有限公司,"行业数据分析, Power BI",民营,10000人以上,互联网
C/C++/Java/Python/JS软件开发/算法/数据,1.7万-3万·15薪,西安·雁塔,经验不限,本科,外企德科数字技术有限公司,"Java, Python, C语言",合资,10000人以上,人力资源服务
数据治理实施顾问(J11926),7千-1.3万,西安·雁塔·丈八沟,经验不限,本科,北京三维天地科技股份有限公司,"软件实施, 数据仓库, 数据中台, 数据清洗",股份制企业,1000-9999人,计算机软件
数据库专家,1万-2万,西安·雁塔·鱼化寨,3-5年,本科,软通动力信息技术(集团)股份有限公司,"Openstack, Zabbix, FastDF, Nginx, Tomcat, Cloudstack, , ",民营,10000人以上,互联网
中级Python开发工程师,1万-1.5万,西安·未央·谭家,5-10年,本科,山东恒远智能科技有限公司,"Django, Flask, Python, Consul, EUREKA, NACOS",民营,300-499人,IT服务
数据分析工程师（偏模型算法）,8千-1.4万·13薪,西安·雁塔,3-5年,本科,福建罗德数字科技有限公司,"数据中心业务, 模型算法",民营,1000-9999人,专业技术服务
金融数据分析师,7千-9千,西安·雁塔·丈八沟,经验不限,本科,西安软玥信息技术有限公司,证券数据分析,民营,20-99人,计算机软件
高级调度研发工程师（系统架构）,1.2万-2万,西安·雁塔,5-10年,本科,蒙帕信息,"MySQL, Redis, Python",股份制企业,100-299人,IT服务
BI商业数据分析课程/培训招生西安,8千-1.2万,西安·雁塔·小寨路,经验不限,大专,51Testing,"计算机专业, 数学/统计学专业",民营,100-299人,计算机软件
数据科学与算法工程师,1.2万-1.5万,西安·雁塔,经验不限,本科,上海轩田智能科技股份有限公司,,Python,500-999人,仪器仪表制造
数据治理岗,8千-1.6万,西安·雁塔·丈八沟,1-3年,本科,永安财产保险股份有限公司,数据治理,股份制企业,10000人以上,保险
高级业务分析师(J12724),1.2万-1.8万,西安·雁塔,5-10年,本科,先进数通,"QUICKBI, GIT\AXURE\OFFICE, 需求分析",股份制企业,1000-9999人,IT服务
Java/ Web/ C开发/ 测试/算法/数据开发,1.2万-2.4万·16薪,西安·雁塔·丈八沟,经验不限,本科,外企德科数字技术有限公司,"JavaScript, Python, C++, Spring, Hibernate, Struts, , , ",合资,10000人以上,人力资源服务
数据分析师,7千-1万,西安·未央·张家堡,无经验,硕士,安徽蓝盾光电子股份有限公司,,民营,1000-9999人,仪器仪表制造
数据技术工程师,1万-1.5万,西安·雁塔·丈八沟,3-5年,硕士,中国航空工业集团公司西安航空计算技术研究所,"Storm, Spark, Flink",事业单位,1000-9999人,学术/科研
商业数据分析专家,1.5万-2万,西安·碑林·太乙路,5-10年,本科,慧科讯业(北京)网络科技有限公司,TO B,外商独资,1000-9999人,互联网
AI中心-大模型数据工程师,1.5万-3万·13薪,西安·雁塔·丈八沟,无经验,硕士,中国移动研究院,,国企,1000-9999人,运营商/增值服务
销售数据分析岗,7千-1.2万·13薪,西安·鄠邑·草堂,1-3年,大专,上海合益众信生物科技有限公司,"Python, SQL, Tableau",民营,100-299人,生物工程
数仓实施工程师,面议,西安·雁塔·鱼化寨,3-5年,本科,中软国际,"数仓开发, 数据清洗, 数据治理, 数据采集, 数据建模",上市公司,10000人以上,计算机软件
Content Manager,1万-1.5万,西安·碑林·太乙路,3-5年,本科,慧科讯业(北京)网络科技有限公司,"电商数据运营, 商业数据分析, 行业数据分析, Tableau, Power BI",外商独资,1000-9999人,互联网
python数据分析师,5千-6千,西安·雁塔·丈八沟,经验不限,大专,西安软玥信息技术有限公司,"Windows, linux",民营,20-99人,计算机软件
双休数据分析,5千-7千·13薪,西安·雁塔·电子城,经验不限,大专,西安丰意博灿网络科技有限公司,"数据治理, 报表开发, 数据处理, 统计",资料整理,20-99人,互联网
数据运营,6千-8千,西安·雁塔·小寨路,经验不限,学历不限,成都佰荣人力资源服务有限公司,"电商数据运营, 经营数据分析",民营,20-99人,人力资源服务
开发工程师(需求分析后端、架构数据库开发）,1.5万-2万,西安·未央·建章路,3-5年,硕士,山西科达自控股份有限公司,"Axure, Visio, Project, Xmind, PowerDesigner, SQL, , ",民营,500-999人,电子设备制造
数据库工程师,1万-1.5万,西安·雁塔,3-5年,本科,上海轩田智能科技股份有限公司,Oracle,MySQL,500-999人,仪器仪表制造
数据采集,4千-7千·13薪,西安·雁塔·电子城,1-3年,本科,西安丰意博灿网络科技有限公司,"数据抽取, Java, Python",C语言,20-99人,互联网
高级数据库管理员(DBA),1.2万-1.6万,西安·灞桥·席王,3-5年,本科,中电金信软件有限公司,"Oracle, MySQL, SQL, 分布式技术",国企,10000人以上,计算机软件
外资银行-data engineer,1.5万-1.8万,西安·雁塔·鱼化寨,3-5年,本科,上海钦诚信息科技有限公司,"Python, SQL",数据开发,20-99人,计算机软件
数据库开发,1.5万-3万·14薪,西安·雁塔,经验不限,本科,西安华为,"数据库内核开发, 数据库开发, 计算机软件, Oracle, MySQL, , , , ",民营,10000人以上,通信/网络设备
数据分析师课程西安/培训招生,8千-1万·13薪,西安·雁塔·小寨路,经验不限,大专,51Testing,"数据治理, 数据挖掘",民营,100-299人,计算机软件
数据分析师（2024-2025届）,1万-1.3万,西安·雁塔·鱼化寨,无经验,硕士,美林数据技术股份有限公司,"数据治理, 数据挖掘, 数据建模, Python, R语言, BI工具, , , ",股份制企业,500-999人,计算机软件
ETL开发工程师,7千-1.4万,西安·雁塔·鱼化寨,经验不限,本科,东华医为科技有限公司,"ETL, 帆软报表, 医疗信息系统, Oracle, 数据处理, 数据采集",民营,1000-9999人,IT服务
数据分析与业务运营专员,1万-2万,西安·雁塔,3-5年,本科,南京坦道信息科技有限公司,"数据挖掘, Python, Sql",民营,100-299人,互联网
BI开发（西安+住宿+补贴）,1.5万-2万,西安·雁塔,5-10年,本科,长亮科技,"报表开发, Power BI, QuickBI, Smartbi, Kettle, Oracle, ",上市公司,1000-9999人,计算机软件
数据分析工程师,8千-1.4万·13薪,西安·雁塔,3-5年,本科,福建罗德数字科技有限公司,"数据报表, BI工具",民营,1000-9999人,专业技术服务
Data Analysis Engineer 数据分析工程师,面议,西安·长安·郭杜,3-5年,本科,艾默生过程控制有限公司,数据分析,外商独资,500-999人,仪器仪表制造
数据治理专家,2万-3万,西安·高陵·泾渭,5-10年,硕士,爱多邦(北京)信息技术服务有限公司,"数据治理, 数据库开发, 数据存储, 解决方案, CDMP, DCMM",民营,100-299人,通信/网络设备
数据工程师,面议,西安·雁塔·鱼化寨,1-3年,本科,东华软件股份公司,"Java, Hadoop, SQL",上市公司,1000-9999人,计算机软件
数据分析师,8千-1.5万,西安·雁塔·鱼化寨,3-5年,本科,软通动力信息技术(集团)股份有限公司,BI工具,民营,10000人以上,互联网
数据分析专员,7千-1.2万·13薪,西安·未央·六村堡,1-3年,大专,北京丽景天诚环保工程有限公司,"数据治理, Sql, Python, BI工具",民营,100-299人,环保
bi数据分析师,面议,西安·雁塔·鱼化寨,3-5年,本科,中软国际,"Power BI, Tableau, MySQL, Oracle, SQL Server",上市公司,10000人以上,计算机软件
数据架构师与数据治理,1.2万-2.4万,西安·新城·长乐西路,经验不限,本科,北京塔诺信息科技有限公司,"数据治理, 数据建模",股份制企业,100-299人,咨询服务
陕西丝路数据交易有限公司（技术开发岗）,8千-1.6万,西安·雁塔·丈八沟,3-5年,本科,陕西省大数据集团有限公司,,国企,100-299人,计算机软件
高级调度研发工程师（数据库）,1.2万-2万,西安·雁塔,5-10年,本科,蒙帕信息,"Oracle, MySQL, Redis",股份制企业,100-299人,IT服务
数据分析,面议,西安·雁塔,1-3年,本科,中软国际,"Python, Sql",上市公司,10000人以上,计算机软件
金融数据分析师,1.2万-2万·14薪,西安·雁塔,5-10年,本科,江苏艾福睿信息科技有限公司北京分公司,"银行数据分析, 贷款数据分析, 信用数据分析, SAS, Python",民营,20-99人,互联网
