岗位名称,薪资,工作地点,工作经验,学历要求,企业,岗位需求,公司类型,岗位需求人数,企业服务
数据运维工程师,8千-1.2万,深圳·南山·桃源,1-3年,大专,数城科技股份有限公司,"IDC/机房运维, 服务器运维, 数据库运维",股份制企业,100-299人,云计算/大数据
大数据开发工程师,2.4万-3.5万,深圳·罗湖·莲塘,3-5年,本科,北京思凌科半导体技术有限公司,"数据架构, 数据挖掘, 数据建模",民营,300-499人,电子/半导体/集成电路
大数据开发工程师,1.2万-2.2万,深圳·南山·西丽,3-5年,本科,成都微二三数据科技有限公司,,Hadoop,20-99人,计算机软件
大数据分析师,1.2万-1.8万,深圳·南山·粤海,1-3年,本科,上海微创软件股份有限公司,数据治理,合资,10000人以上,IT服务
数据报表开发工程师,2.5万-3.5万,深圳·南山·粤海,3-5年,本科,深圳市蓝海智链科技有限公司,"数仓开发, 数据建模, 数据采集",Hadoop,20人以下,企业服务
高级大数据工程师,2万-4万,深圳·南山·粤海,5-10年,本科,深圳市先创数字技术有限公司,"Hive, Flink, Spark, Hadoop, Python, DORIS, ",民营,100-299人,运营商/增值服务
大数据开发工程师,2万-4万·14薪,深圳·龙岗·坂田,经验不限,本科,外企德科数字技术有限公司,"数据库开发, Java, Python",合资,10000人以上,人力资源服务
数据挖掘工程师,1.8万-3万,深圳·南山·粤海,经验不限,本科,国投证券,"Hadoop, Hive, Spark, MySQL, Redis, Oracle, Java, , , ",股份制企业,1000-9999人,证券/期货
Python大数据分析特训营课程/培训招生/深圳sz,6千-8千,深圳·龙岗·坂田,经验不限,大专,51Testing,"Java, .NET, 软件测试, 前端开发, 程序员, WEB, , ",民营,100-299人,计算机软件
大数据开发工程师,1.5万-3万,深圳·福田·莲花,1-3年,本科,思码睿猎人才咨询(上海)有限公司,C++,Java,100-299人,专业技术服务
大数据开发工程师,1.3万-1.7万,深圳·南山·粤海,5-10年,大专,拓保软件,"数据治理, 数据架构, 数据库开发, Java, Python, Scala, , , ",民营,1000-9999人,计算机软件
工业互联网与大数据 专业教师,8千-1.3万,深圳·福田·福田街道,1-3年,硕士,鹏劳人力,"授课老师, 教学管理",国企,100-299人,咨询服务
数据分析,1.2万-1.8万,深圳·龙岗·坂田,经验不限,本科,软通动力信息技术(集团)股份有限公司,"数据治理, 数据建模, Python, Sql, BI工具",民营,10000人以上,互联网
高级大数据开发工程师,2万-4万,深圳·南山·粤海,5-10年,本科,深圳市先创数字技术有限公司,"数据分析, 数据魔方",民营,100-299人,运营商/增值服务
大数据开发工程师（sql+java）,1.4万-1.8万,深圳·福田·福田街道,经验不限,本科,深圳市睿服科技有限公司,"Hadoop, Flink, Java, SQL, Spark, Yarn, Hive",股份制企业,1000-9999人,IT服务
深圳高级数据治理工程师（双休朝九晚五点半）,1.8万-2.8万,深圳·福田·华强北,5-10年,本科,深圳市法本信息技术股份有限公司,"需求分析工程师, 数据治理, DAMA",上市公司,1000-9999人,计算机软件
BI商业数据分析课程/培训招生sz深圳,6千-8千,深圳·龙岗·坂田,经验不限,大专,51Testing,"Java, WEB, C语言, 前端开发, 软件测试, 程序员, 计算机, ",民营,100-299人,计算机软件
大数据Java开发工程师,1.6万-3万,深圳·龙岗·横岗,1-3年,本科,山东南书房教育科技有限公司,20-99人,培训/辅导服务,20-99人,培训/辅导服务
大数据开发工程师,1.5万-1.6万,深圳·福田·梅林,5-10年,本科,深圳极联信息技术股份有限公司,"Hadoop, Flink, Spark",民营,500-999人,计算机软件
15K数据分析/双休/一档社保/13薪,1.3万-2万·13薪,深圳·南山·粤海,1-3年,本科,深圳市芯聚网络科技有限公司,"数据建模, 报表开发, Sql, Python, BI工具",民营,100-299人,互联网
大数据开发（佛山办公 视频面试）,1.3万-1.8万,深圳·南山·粤海,3-5年,大专,顶尖传诚,"Spark, hive, 数据建模",民营,100-299人,计算机软件
大数据测试工程师,1.3万-1.6万,深圳·福田·福田街道,5-10年,大专,南京版石信息系统有限公司,"大数据测试, Shell, Selenium, Postman, Fiddler",民营,20-99人,互联网
大数据Java开发工程师,1.5万-2万,深圳·南山·招商,1-3年,大专,山东小飞鱼人力资源有限公司,,民营,20人以下,人力资源服务
数据开发工程师,2万-4万·14薪,深圳·南山·粤海,5-10年,本科,创兴银行有限公司深圳分行,"数仓开发, 数据平台, ETL开发, 报表开发",银行,100-299人,银行
数据分析与处理高级工程师,1.5万-2万,深圳·南山·粤海,3-5年,硕士,深圳中星数字海洋科技有限公司,SQL、R，PYTHON,民营,20-99人,专业技术服务
大数据开发工程师,1.5万-1.9万,深圳·福田·福田街道,3-5年,本科,深圳市睿服科技有限公司,"Hadoop, Java, Hive, Oracle, Shell",股份制企业,1000-9999人,IT服务
大数据智能平台高级工程师,1.3万-2万,深圳·龙岗·坂田,经验不限,本科,深圳市智胜益辉科技有限公司,Python,民营,20-99人,计算机软件
大数据开发技术总监,3万-5万,深圳·龙华·龙华,3-5年,本科,深圳市巨富美科技有限公司,,民营,20人以下,贸易/进出口
大数据迁移,2万-3万,深圳·龙岗·坂田,10年以上,本科,软通动力信息技术(集团)股份有限公司,"数据仓库, 数据治理, 数据迁移",民营,10000人以上,互联网
大数据开发工程师(全额公积金）,1.5万-2.2万,深圳·福田·福田街道,3-5年,本科,深圳市睿服科技有限公司,"数据治理, ETL, 数据仓库, Sql, Python, Java",股份制企业,1000-9999人,IT服务
大数据开发工程师（OD）,1.3万-2.6万,深圳·龙岗·坂田,1-3年,本科,深圳市人才服务中心(深圳市人才大市场),"Java, C++",事业单位,300-499人,人力资源服务
后台大数据开发（SQL）+薪资25k以内+头部企业+双休六险一金,1.6万-2.5万,深圳·龙岗·坂田,5-10年,本科,河南万马奔腾人力资源服务有限公司,"ETL, 数据建模, 数据库开发, Sql, Flink, Oracle",民营,100-299人,人力资源服务
数据治理工程师（现场面试）,1.4万-1.5万,深圳·福田·华强北,5-10年,大专,拓保软件,"数据治理, 数据仓库, 数据建模",民营,1000-9999人,计算机软件
大数据平台运维工程师,1万-1.4万,深圳·南山·南山,3-5年,本科,华苏科技,"大数据, 运维",民营,1000-9999人,通信/网络设备
中级大数据开发工程师,1.2万-1.3万,深圳·福田·福田街道,3-5年,本科,京北方,"数据挖掘, ETL开发, 数据建模, Java, Python, Hadoop, , ",民营,10000人以上,IT服务
大数据平台分析师,1.5万-2.5万·15薪,深圳·福田·香蜜湖,3-5年,本科,中证鹏元资信评估股份有限公司,"Python, 数据建模",民营,300-499人,证券/期货
深圳大数据项目经理（双休朝九晚五点半）,1.2万-1.9万,深圳·龙岗·大鹏,5-10年,本科,深圳市法本信息技术股份有限公司,"PMP, 数据中台, 数据挖掘",上市公司,1000-9999人,计算机软件
大数据开发工程师,2.5万-3.5万·14薪,深圳·福田·园岭,5-10年,本科,深圳市乐有家控股集团有限公司,"Java, Python, Hadoop, Flink, Spark, 数据仓库, , ",民营,10000人以上,房地产中介
大数据开发工程师,1.5万-3万·14薪,深圳·龙岗·坂田,1-3年,本科,外企德科数字技术有限公司,"Sql, 数据库开发, 数据架构, 数据中台开发, Hadoop",合资,10000人以上,人力资源服务
数据BA/数据分析师,2万-4万·14薪,深圳·南山·粤海,5-10年,本科,创兴银行有限公司深圳分行,"Sql, BI工具, ETL工具",银行,100-299人,银行
bi数据开发工程师,1万-1.6万,深圳·福田·华强北,3-5年,本科,京北方,Smartbi,民营,10000人以上,IT服务
大数据开发工程师,2.1万-2.4万,深圳·南山·粤海,5-10年,本科,中电金信软件有限公司,"数据库开发, Hadoop",国企,10000人以上,计算机软件
大数据开发工程师,1.5万-2.5万,深圳·南山·南山,3-5年,本科,淘礼礼贸易(深圳)有限公司,"Java, Python, Elasticsearch, 数仓开发, MapReduce, Hive, ",民营,100-299人,电子商务
数据开发工程师,1.2万-1.7万,深圳·福田·梅林,3-5年,大专,深圳建广数字科技有限公司青岛分公司,"腾讯WEDATA和ICEBERG, Sql, Hadoop",民营,1000-9999人,计算机软件
数据开发工程师（周末双休 工作氛围好）,1.5万-2万,深圳·南山·西丽,3-5年,大专,深圳市润迅数智科技有限公司,"Hadoop, Spark, Python, Sql, SmartBI, 帆软",民营,100-299人,IT服务
大数据开发工程师,1.5万-2.1万,深圳·龙岗·坂田,3-5年,本科,软通动力信息技术(集团)股份有限公司,"数据治理, Java, Python, Scala, Hadoop, Hive, Spark, ",民营,10000人以上,互联网
大数据迁移测试,面议,深圳·龙岗·坂田,3-5年,本科,中软国际,"数据治理, 数据仓库, Java, Python, Hadoop",上市公司,10000人以上,计算机软件
大数据实时数仓,1.1万-1.5万,深圳·南山·南山,3-5年,大专,诚迈科技,"Flink sql, 数仓开发, MySQL, Java, Hadoop, Flink, Spark, , ",上市公司,1000-9999人,运营商/增值服务
大数据算法工程师,1万-2万,深圳·龙岗·坂田,3-5年,本科,软通动力信息技术(集团)股份有限公司,"数据架构, 数据库开发, Python, Spark, Flink",民营,10000人以上,互联网
大数据开发工程师,1.5万-2万,深圳·龙岗·坂田,5-10年,本科,国能汇智(天津)科技发展有限公司,"Java, Python, Scala, Flink, Spark",股份制企业,20-99人,新能源
大数据开发工程师,1.5万-3万·15薪,深圳·龙岗·坂田,经验不限,本科,外企德科数字技术有限公司,"数据库开发, 数据仓库, Java, Python",合资,10000人以上,人力资源服务
数据治理工程师（TCL-长期稳定）,1.5万-2万,深圳·南山·西丽,5-10年,大专,顶尖传诚,"数据治理, 数据挖掘, Sql, 主数据, 数据清洗",民营,100-299人,计算机软件
大数据迁移测试,面议,深圳·龙岗·坂田,3-5年,本科,中软国际,"ETL, Java, Python, Hadoop, Spark",上市公司,10000人以上,计算机软件
大数据运维工程师,6千-1.2万,深圳·龙华·观湖,经验不限,本科,深圳市乐有家控股集团有限公司,Hadoop,民营,10000人以上,房地产中介
大数据开发工程师（2025校招）,1.4万-2万·13薪,深圳·龙岗·宝龙,无经验,硕士,深圳方正微电子有限公司,"数据治理, 数据挖掘, 数据仓库, Sql",合资,500-999人,电子/半导体/集成电路
数据开发工程师,1.6万-2万,深圳·福田·梅林,5-10年,本科,上海从开网络科技有限公司,数仓开发,民营,100-299人,互联网
数据开发（BI岗位）,1万-1.4万,深圳·龙岗·坂田,3-5年,本科,软通动力信息技术(集团)股份有限公司,"数据治理, 报表开发, 数据清洗, 数据仓库",民营,10000人以上,互联网
大数据开发工程师,1.6万-3.2万,深圳·龙岗·坂田,1-3年,本科,山东思域智能科技有限公司,"数据平台, Java, READY",民营,100-299人,计算机软件
大数据算法分析师(J10235),1.5万-2.5万,深圳·龙华·观澜,3-5年,硕士,英维克,"数据治理, 数据挖掘, 数据建模, Python, Matlab",上市公司,1000-9999人,专用设备制造
大数据开发工程师（python),1.2万-1.8万,深圳·龙岗·坂田,3-5年,本科,软通动力信息技术(集团)股份有限公司,,民营,10000人以上,互联网
数据开发工程师,1.6万-3万·14薪,深圳·龙岗·坂田,经验不限,本科,外企德科数字技术有限公司,"Sql, 数据库开发, Hadoop, Python",合资,10000人以上,人力资源服务
高级大数据开发工程师,1.4万-1.6万,深圳·福田·福田街道,5-10年,本科,京北方,"ETL, 数据建模, Python, Hadoop, Spark, Kafka, ",民营,10000人以上,IT服务
大数据开发工程师,1.5万-1.8万,深圳·龙岗·坂田,3-5年,本科,软通动力信息技术(集团)股份有限公司,"Hadoop, Python, 数据库开发",民营,10000人以上,互联网
Python大数据分析特训营课程sz/培训招生,6千-8千,深圳·龙岗·坂田,经验不限,大专,51Testing,"Java, .NET, 软件测试, 前端开发, 程序员, WEB, , ",民营,100-299人,计算机软件
数据处理工程师（上市公司）,1.5万-2万,深圳·南山·西丽,3-5年,本科,中科软件系统(深圳)股份有限公司,"数据治理, 数据架构, 数据挖掘, Java, Python, C++, , , , ",股份制企业,1000-9999人,计算机软件
